post	target	implied_statement
#antifa is #isis #isis is #cnn #cnn is #ciasmash !	Leftists	Leftists support terrorism
: ... and white elitist liberals .	white liberals	white liberals are elitist
we hate white people #liberalismin4words	Liberals	Liberals inherently don't like white people
" : estonian politician :  "" i don't want blacks in estonia ; this is a white country "" "" """	Blacks	Blacks degrade a society.
people are now aware that islam is not a race so it is not racist to hate muslims . muslims are people that join an evil cult .	Muslims	Muslims are evil
white = racist hindu = fascistbuddhist = terroristjew = capitalisthow the liberalist & the jihadist use terms to disarm your narrative .	Liberals and muslims	Liberals and muslims are sneaky and dishonest
white peaple where the first at everything  we deserve love	white people	White people deserve love.
white race is most beautiful creation of god . it must be preserved . save hindus also .	Minorities	Minorities are lower races.
let all illegals move to cali and let the state fund them not the fed govt horrorwood libs will find them climbing the walls arnd mansions	Immigrants	Immigrants are criminals
no one cares what another bigoted white male of privilege has to say . #lovewins	White men	White men are bigots
" the system discriminates in favor of blacks .  "" institutional racism "" "" is anti-white in america """	Black people	Black people abuse the system
" no  a group of 20  "" white lives matter "" "" violent bigots found a black man with a white woman and attacked them . """	white people	White people are bigots.
... emotional condemnations of women  gays  jews  nonwhites  and any other people incapable of creating civilization .	Minorities	Minorities are inferior people
" heard of  "" white privilege "" "" ? the entire concept is to make white people feel bad that we are white . it's original sin for whites . """	white folks	whites are privileged
white pill of epic proportions incoming : we are the unassailable future via	non-white people	non-white people are a threat
: robertspencer hatemongerbe brave an admit you are fulfills christian / jew zionist hate agenda against 1 .	Jews	Jews promote hatred against whites.
" msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """	White liberals	White liberals are weak-minded
love white genocide . also see this :	Whites	Whites are a societal problem.
continue staying white and christian . it has been helpful to your growth in america . keep your soul white and pure !	White Christians	White Christians are superior to other races.
our great white christian race shall defeat muslims we r obliged 2 xtermin 8 their presence from our daily lives .	Muslims	Muslims are inferior to whites
it's okay to be fellow white	Minorities	Minorities are subpar compared to whites.
throughout #islam 1400 year history they always use the blacks as their army to kill white people .	Muslims	Muslims manipulate blacks
: via : white house erases israel from its website #tcot	Israel	Israel doesn't belong in the White House.
you believe nelson mandela was a freedom fighter #cuckservative	blacks	blacks are oppressed
by the looks of it you have our heritage as well or are you transracial like rachel dolezal ?	Transracials	Transracials are abnormal
why would you deport white people out of a country they founded for themselves ?	Minorities	Minorities are second class citizens
" rt since when was jesus  "" mixed race "" "" ? ... please stop trying to stick jesus and christianity into your criminal communist ideology . don't tell me you're like those bbc anti-white racists that depict julius caesar and achilles as black men in the name of "" "" diversity "" "" and inclusiveness """	non-white people	non-white people are criminals
